Date,Store_ID,Product_Category,Product_ID,Quantity_Sold,Price_per_Unit,Discount per_order,Total_Sales,District,State
2/28/2024,DM013,Groceries,P4319,25,457.05,11%,10169.36,Patna,Bihar
1/26/2024,DM017,Groceries,P7474,45,265.34,2%,11701.49,Dehradun,Uttarakhand
12/30/2024,DM007,Groceries,P5370,46,475.14,18%,17922.28,Ahmedabad,Gujarat
4/17/2024,DM020,Electronics,P3288,18,99.19,13%,1553.32,Panaji,Goa
2/6/2024,DM016,Stationery,P6246,50,391.31,27%,14282.82,Thiruvananthapuram,Kerala
3/31/2024,DM010,Home & Kitchen,P3098,3,270.32,24%,616.33,Lucknow,Uttar Pradesh
11/7/2024,DM020,Clothing,P1271,21,201.99,12%,3732.78,Panaji,Goa
8/10/2024,DM013,Groceries,P7976,3,87.58,14%,225.96,Patna,Bihar
5/21/2024,DM009,Groceries,P4081,41,253.24,29%,7371.82,Jaipur,Rajasthan
8/7/2024,DM012,Groceries,P9601,11,279.02,28%,2209.84,Indore,Madhya Pradesh
5/19/2024,DM013,Home & Kitchen,P6240,29,366.97,5%,10110.02,Patna,Bihar
5/2/2024,DM004,Electronics,P5631,23,185.41,2%,4179.14,Chennai,Tamil Nadu
5/28/2024,DM016,Groceries,P3759,22,140.99,9%,2822.62,Thiruvananthapuram,Kerala
7/29/2024,DM007,Electronics,P6960,2,105.72,5%,200.87,Ahmedabad,Gujarat
11/15/2024,DM001,Home & Kitchen,P4926,3,186.44,6%,525.76,Mumbai,Maharashtra
6/30/2024,DM002,Electronics,P6627,4,26.71,17%,88.68,Pune,Maharashtra
5/2/2024,DM004,Home & Kitchen,P5579,45,187.85,3%,8199.65,Chennai,Tamil Nadu
8/25/2024,DM014,Electronics,P6546,5,34.02,10%,153.09,Bhubaneswar,Odisha
10/25/2024,DM019,Home & Kitchen,P1987,42,74.89,7%,2925.2,Ranchi,Jharkhand
2/21/2024,DM006,Clothing,P3660,4,72.9,29%,207.04,Delhi,Delhi
12/31/2024,DM003,Stationery,P7110,43,358.42,13%,13408.49,Bangalore,Karnataka
4/5/2024,DM019,Electronics,P3353,45,299,22%,10494.9,Ranchi,Jharkhand
2/6/2024,DM013,Stationery,P3469,42,181.51,15%,6479.91,Patna,Bihar
10/15/2024,DM012,Home & Kitchen,P4106,13,159.51,22%,1617.43,Indore,Madhya Pradesh
10/20/2024,DM014,Home & Kitchen,P2534,47,56.08,9%,2398.54,Bhubaneswar,Odisha
9/8/2024,DM020,Groceries,P3327,18,153.74,14%,2379.9,Panaji,Goa
6/19/2024,DM006,Groceries,P3950,18,302.59,18%,4466.23,Delhi,Delhi
8/21/2024,DM013,Groceries,P4898,4,178.89,13%,622.54,Patna,Bihar
4/21/2024,DM007,Groceries,P6067,48,487.97,30%,16395.79,Ahmedabad,Gujarat
7/12/2024,DM005,Home & Kitchen,P8633,11,370.53,28%,2934.6,Hyderabad,Telangana
11/1/2024,DM013,Home & Kitchen,P7307,10,364.84,29%,2590.36,Patna,Bihar
9/5/2024,DM011,Home & Kitchen,P3062,14,222.04,6%,2922.05,Chandigarh,Punjab
6/11/2024,DM020,Home & Kitchen,P8403,5,337.89,29%,1199.51,Panaji,Goa
10/2/2024,DM017,Groceries,P3494,37,383.12,20%,11340.35,Dehradun,Uttarakhand
3/14/2024,DM011,Home & Kitchen,P3417,13,409.26,18%,4362.71,Chandigarh,Punjab
6/14/2024,DM013,Clothing,P1157,5,430.18,23%,1656.19,Patna,Bihar
3/25/2024,DM015,Stationery,P4907,8,156.32,3%,1213.04,Guwahati,Assam
7/9/2024,DM009,Home & Kitchen,P2756,25,393.36,21%,7768.86,Jaipur,Rajasthan
6/1/2024,DM019,Home & Kitchen,P5653,13,119.06,5%,1470.39,Ranchi,Jharkhand
1/17/2024,DM015,Stationery,P4968,48,133.35,28%,4608.58,Guwahati,Assam
5/10/2024,DM013,Home & Kitchen,P7741,3,309.69,18%,761.84,Patna,Bihar
8/22/2024,DM006,Stationery,P3763,8,347.35,5%,2639.86,Delhi,Delhi
5/1/2024,DM015,Groceries,P9205,39,126.11,16%,4131.36,Guwahati,Assam
11/19/2024,DM006,Clothing,P5298,49,313.81,5%,14607.86,Delhi,Delhi
10/16/2024,DM013,Groceries,P3069,26,245.95,17%,5307.6,Patna,Bihar
3/11/2024,DM006,Home & Kitchen,P2021,23,476.04,5%,10401.47,Delhi,Delhi
4/25/2024,DM008,Electronics,P2889,2,80.33,0%,160.66,Kolkata,West Bengal
1/2/2024,DM016,Stationery,P9970,24,441.54,10%,9537.26,Thiruvananthapuram,Kerala
2/16/2024,DM018,Groceries,P2645,12,416.9,5%,4752.66,Shimla,Himachal Pradesh
3/18/2024,DM010,Groceries,P3313,21,469.44,16%,8280.92,Lucknow,Uttar Pradesh
10/29/2024,DM006,Stationery,P6114,5,126,17%,522.9,Delhi,Delhi
6/10/2024,DM012,Stationery,P8551,2,36.72,18%,60.22,Indore,Madhya Pradesh
2/24/2024,DM004,Electronics,P8074,9,279.95,27%,1839.27,Chennai,Tamil Nadu
6/30/2024,DM011,Clothing,P9523,19,88.69,9%,1533.45,Chandigarh,Punjab
12/29/2024,DM019,Home & Kitchen,P5158,21,270.32,16%,4768.44,Ranchi,Jharkhand
10/17/2024,DM016,Groceries,P3757,44,111.21,6%,4599.65,Thiruvananthapuram,Kerala
2/28/2024,DM012,Stationery,P2916,42,254.21,7%,9929.44,Indore,Madhya Pradesh
4/30/2024,DM006,Electronics,P7075,1,468.19,17%,388.6,Delhi,Delhi
10/1/2024,DM003,Electronics,P2010,20,316.24,17%,5249.58,Bangalore,Karnataka
8/29/2024,DM003,Home & Kitchen,P8796,37,196.02,8%,6672.52,Bangalore,Karnataka
2/9/2024,DM015,Electronics,P3799,28,451.42,13%,10996.59,Guwahati,Assam
4/21/2024,DM002,Clothing,P1537,16,266.63,16%,3583.51,Pune,Maharashtra
2/5/2024,DM005,Home & Kitchen,P1949,10,412.66,21%,3260.01,Hyderabad,Telangana
4/30/2024,DM009,Electronics,P6316,8,156.68,5%,1190.77,Jaipur,Rajasthan
10/9/2024,DM010,Clothing,P1787,14,13.43,10%,169.22,Lucknow,Uttar Pradesh
5/8/2024,DM006,Stationery,P1404,19,22.72,24%,328.08,Delhi,Delhi
10/16/2024,DM010,Stationery,P2822,41,57.86,4%,2277.37,Lucknow,Uttar Pradesh
3/31/2024,DM018,Stationery,P9925,12,485.03,21%,4598.08,Shimla,Himachal Pradesh
6/18/2024,DM017,Groceries,P8229,11,411.61,6%,4256.05,Dehradun,Uttarakhand
1/31/2024,DM004,Home & Kitchen,P9941,19,280.09,12%,4683.1,Chennai,Tamil Nadu
3/18/2024,DM010,Groceries,P4289,18,429.69,21%,6110.19,Lucknow,Uttar Pradesh
10/11/2024,DM008,Stationery,P7984,50,387.4,15%,16464.5,Kolkata,West Bengal
5/29/2024,DM007,Stationery,P3179,28,196.97,1%,5460.01,Ahmedabad,Gujarat
4/10/2024,DM011,Electronics,P7179,36,257.67,4%,8905.08,Chandigarh,Punjab
7/5/2024,DM011,Clothing,P5786,1,39.36,12%,34.64,Chandigarh,Punjab
1/24/2024,DM002,Stationery,P3672,32,403.32,14%,11099.37,Pune,Maharashtra
4/23/2024,DM019,Stationery,P6186,34,31.88,29%,769.58,Ranchi,Jharkhand
10/20/2024,DM011,Clothing,P8157,20,208.56,19%,3378.67,Chandigarh,Punjab
10/16/2024,DM005,Groceries,P7585,24,378.35,16%,7627.54,Hyderabad,Telangana
2/13/2024,DM002,Electronics,P6016,48,146.15,19%,5682.31,Pune,Maharashtra
2/17/2024,DM006,Stationery,P5392,15,286.3,2%,4208.61,Delhi,Delhi
11/15/2024,DM013,Home & Kitchen,P2971,6,58.85,26%,261.29,Patna,Bihar
12/23/2024,DM014,Groceries,P3049,21,204.2,20%,3430.56,Bhubaneswar,Odisha
3/30/2024,DM004,Electronics,P5495,1,51.89,15%,44.11,Chennai,Tamil Nadu
10/17/2024,DM003,Home & Kitchen,P3943,3,242.16,21%,573.92,Bangalore,Karnataka
5/25/2024,DM011,Home & Kitchen,P7664,15,324.44,8%,4477.27,Chandigarh,Punjab
12/18/2024,DM002,Electronics,P1840,37,192.23,2%,6970.26,Pune,Maharashtra
4/10/2024,DM008,Groceries,P1751,15,83.25,26%,924.08,Kolkata,West Bengal
8/2/2024,DM015,Groceries,P9841,44,109.81,16%,4058.58,Guwahati,Assam
1/2/2024,DM017,Stationery,P4902,1,405.29,17%,336.39,Dehradun,Uttarakhand
3/20/2024,DM017,Groceries,P9742,30,256.9,12%,6782.16,Dehradun,Uttarakhand
5/19/2024,DM005,Electronics,P7142,1,167.58,6%,157.53,Hyderabad,Telangana
4/4/2024,DM006,Home & Kitchen,P6842,23,464.01,11%,9498.28,Delhi,Delhi
1/31/2024,DM006,Home & Kitchen,P7191,22,149.44,28%,2367.13,Delhi,Delhi
2/14/2024,DM017,Stationery,P1553,22,484,2%,10435.04,Dehradun,Uttarakhand
2/18/2024,DM016,Groceries,P2912,48,97.36,28%,3364.76,Thiruvananthapuram,Kerala
1/16/2024,DM013,Home & Kitchen,P8186,24,373.92,13%,7807.45,Patna,Bihar
12/11/2024,DM004,Home & Kitchen,P1051,39,256.35,0%,9997.65,Chennai,Tamil Nadu
9/10/2024,DM002,Home & Kitchen,P6939,21,200.83,6%,3964.38,Pune,Maharashtra
10/30/2024,DM014,Clothing,P5709,11,463.28,0%,5096.08,Bhubaneswar,Odisha
10/21/2024,DM014,Stationery,P4532,34,88.34,22%,2342.78,Bhubaneswar,Odisha
7/26/2024,DM007,Stationery,P7963,29,75.61,16%,1841.86,Ahmedabad,Gujarat
11/5/2024,DM015,Groceries,P3642,4,388.24,22%,1211.31,Guwahati,Assam
6/4/2024,DM016,Stationery,P9658,18,134,21%,1905.48,Thiruvananthapuram,Kerala
1/28/2024,DM004,Groceries,P9051,9,448.22,16%,3388.54,Chennai,Tamil Nadu
4/14/2024,DM005,Home & Kitchen,P3617,48,14.66,17%,584.05,Hyderabad,Telangana
3/1/2024,DM013,Electronics,P7822,1,387.87,5%,368.48,Patna,Bihar
1/6/2024,DM015,Groceries,P1719,7,31.39,30%,153.81,Guwahati,Assam
9/10/2024,DM013,Stationery,P8020,2,161.35,6%,303.34,Patna,Bihar
12/30/2024,DM008,Clothing,P1181,32,132.94,27%,3105.48,Kolkata,West Bengal
4/19/2024,DM020,Groceries,P5502,42,218.56,10%,8261.57,Panaji,Goa
10/1/2024,DM009,Home & Kitchen,P6264,8,203.13,15%,1381.28,Jaipur,Rajasthan
7/17/2024,DM018,Electronics,P7828,39,452.59,5%,16768.46,Shimla,Himachal Pradesh
7/3/2024,DM004,Electronics,P6920,9,400.05,0%,3600.45,Chennai,Tamil Nadu
5/23/2024,DM016,Stationery,P7563,28,56.61,3%,1537.53,Thiruvananthapuram,Kerala
7/8/2024,DM020,Electronics,P7756,11,415.26,16%,3837,Panaji,Goa
10/24/2024,DM019,Stationery,P6093,30,104.92,8%,2895.79,Ranchi,Jharkhand
12/9/2024,DM003,Groceries,P1838,7,326.85,28%,1647.32,Bangalore,Karnataka
11/13/2024,DM020,Groceries,P5782,17,219.53,13%,3246.85,Panaji,Goa
8/18/2024,DM009,Home & Kitchen,P3280,8,257.14,13%,1789.69,Jaipur,Rajasthan
11/17/2024,DM017,Stationery,P2783,25,16.59,18%,340.1,Dehradun,Uttarakhand
3/8/2024,DM015,Electronics,P3490,10,414.48,4%,3979.01,Guwahati,Assam
4/7/2024,DM017,Electronics,P1312,2,280.58,10%,505.04,Dehradun,Uttarakhand
7/19/2024,DM010,Electronics,P5801,7,389.06,16%,2287.67,Lucknow,Uttar Pradesh
5/15/2024,DM020,Electronics,P7848,40,280.57,0%,11222.8,Panaji,Goa
4/28/2024,DM006,Clothing,P9375,24,358.38,6%,8085.05,Delhi,Delhi
10/4/2024,DM017,Clothing,P9328,21,345.94,28%,5230.61,Dehradun,Uttarakhand
4/4/2024,DM005,Groceries,P7141,31,103.16,26%,2366.49,Hyderabad,Telangana
10/10/2024,DM010,Groceries,P9091,11,208.66,8%,2111.64,Lucknow,Uttar Pradesh
12/13/2024,DM010,Home & Kitchen,P4702,18,275.14,28%,3565.81,Lucknow,Uttar Pradesh
6/3/2024,DM020,Electronics,P5615,34,466.41,15%,13479.25,Panaji,Goa
7/28/2024,DM008,Electronics,P4964,18,170.23,25%,2298.11,Kolkata,West Bengal
8/30/2024,DM001,Home & Kitchen,P4872,4,365.06,19%,1182.79,Mumbai,Maharashtra
7/26/2024,DM005,Home & Kitchen,P5036,27,233.45,27%,4601.3,Hyderabad,Telangana
8/26/2024,DM015,Home & Kitchen,P3404,17,325.86,20%,4431.7,Guwahati,Assam
11/15/2024,DM019,Clothing,P8795,39,166.11,21%,5117.85,Ranchi,Jharkhand
8/12/2024,DM012,Stationery,P8661,33,138.34,14%,3926.09,Indore,Madhya Pradesh
12/17/2024,DM010,Clothing,P3051,47,65.6,15%,2620.72,Lucknow,Uttar Pradesh
4/4/2024,DM012,Electronics,P5834,5,462.73,11%,2059.15,Indore,Madhya Pradesh
2/28/2024,DM013,Stationery,P4047,46,147.26,1%,6706.22,Patna,Bihar
11/5/2024,DM007,Stationery,P4273,37,147.48,3%,5293.06,Ahmedabad,Gujarat
1/3/2024,DM014,Stationery,P5030,28,27.22,2%,746.92,Bhubaneswar,Odisha
6/7/2024,DM004,Electronics,P7795,17,370.93,8%,5801.35,Chennai,Tamil Nadu
10/11/2024,DM011,Stationery,P9455,45,489.36,6%,20699.93,Chandigarh,Punjab
6/28/2024,DM015,Clothing,P1718,32,499.55,8%,14706.75,Guwahati,Assam
10/18/2024,DM008,Electronics,P3900,41,232.13,27%,6947.65,Kolkata,West Bengal
12/12/2024,DM005,Electronics,P5782,41,137.72,20%,4517.22,Hyderabad,Telangana
10/30/2024,DM019,Groceries,P8314,21,397.27,25%,6257,Ranchi,Jharkhand
10/7/2024,DM002,Home & Kitchen,P3326,5,150.54,28%,541.94,Pune,Maharashtra
3/10/2024,DM007,Groceries,P6613,42,404.93,27%,12415.15,Ahmedabad,Gujarat
4/28/2024,DM013,Home & Kitchen,P9675,20,271.43,5%,5157.17,Patna,Bihar
6/13/2024,DM009,Stationery,P4535,38,399.43,16%,12749.81,Jaipur,Rajasthan
6/5/2024,DM009,Groceries,P8388,48,457.33,30%,15366.29,Jaipur,Rajasthan
7/1/2024,DM020,Electronics,P1751,47,404.48,13%,16539.19,Panaji,Goa
1/9/2024,DM013,Groceries,P8162,26,404.37,12%,9251.99,Patna,Bihar
2/27/2024,DM011,Clothing,P4893,43,113.41,17%,4047.6,Chandigarh,Punjab
4/27/2024,DM011,Electronics,P8576,43,487.29,28%,15086.5,Chandigarh,Punjab
11/29/2024,DM012,Electronics,P7740,49,240.28,0%,11773.72,Indore,Madhya Pradesh
7/1/2024,DM009,Home & Kitchen,P5485,22,267.24,9%,5350.14,Jaipur,Rajasthan
1/7/2024,DM020,Clothing,P5295,10,179.45,2%,1758.61,Panaji,Goa
6/30/2024,DM017,Electronics,P6613,39,176.86,16%,5793.93,Dehradun,Uttarakhand
7/25/2024,DM009,Electronics,P2612,36,378.96,22%,10641.2,Jaipur,Rajasthan
2/9/2024,DM015,Home & Kitchen,P4969,17,64.95,25%,828.11,Guwahati,Assam
7/11/2024,DM008,Groceries,P4925,16,210.72,15%,2865.79,Kolkata,West Bengal
12/6/2024,DM010,Clothing,P4783,6,49.93,23%,230.68,Lucknow,Uttar Pradesh
11/21/2024,DM020,Electronics,P9170,48,28.93,3%,1346.98,Panaji,Goa
3/20/2024,DM012,Groceries,P8006,34,405.35,23%,10612.06,Indore,Madhya Pradesh
9/22/2024,DM018,Stationery,P1180,40,466.59,1%,18476.96,Shimla,Himachal Pradesh
9/3/2024,DM015,Groceries,P3424,24,434.95,20%,8351.04,Guwahati,Assam
11/12/2024,DM011,Home & Kitchen,P7667,50,330.86,9%,15054.13,Chandigarh,Punjab
4/4/2024,DM020,Stationery,P2280,34,187.39,4%,6116.41,Panaji,Goa
7/14/2024,DM007,Electronics,P5002,27,329.32,25%,6668.73,Ahmedabad,Gujarat
11/30/2024,DM007,Clothing,P2877,10,292.88,30%,2050.16,Ahmedabad,Gujarat
6/4/2024,DM004,Stationery,P9755,29,61.99,11%,1599.96,Chennai,Tamil Nadu
8/8/2024,DM010,Stationery,P3207,33,96.75,21%,2522.27,Lucknow,Uttar Pradesh
3/22/2024,DM001,Electronics,P4711,27,463.41,15%,10635.26,Mumbai,Maharashtra
1/13/2024,DM009,Clothing,P5571,21,320.91,28%,4852.16,Jaipur,Rajasthan
12/26/2024,DM017,Clothing,P8127,5,413.85,30%,1448.47,Dehradun,Uttarakhand
7/31/2024,DM003,Home & Kitchen,P6405,8,166.59,5%,1266.08,Bangalore,Karnataka
5/29/2024,DM018,Electronics,P1060,9,471.31,17%,3520.69,Shimla,Himachal Pradesh
2/28/2024,DM008,Electronics,P5735,32,208.71,13%,5810.49,Kolkata,West Bengal
10/2/2024,DM009,Electronics,P9829,49,459.04,25%,16869.72,Jaipur,Rajasthan
10/24/2024,DM003,Electronics,P3497,17,82.85,30%,985.91,Bangalore,Karnataka
7/4/2024,DM009,Stationery,P7627,32,110.48,23%,2722.23,Jaipur,Rajasthan
9/15/2024,DM005,Home & Kitchen,P2059,23,300.86,20%,5535.82,Hyderabad,Telangana
5/1/2024,DM016,Stationery,P2538,38,421.53,10%,14416.33,Thiruvananthapuram,Kerala
2/28/2024,DM002,Home & Kitchen,P2833,29,480.61,10%,12543.92,Pune,Maharashtra
4/28/2024,DM003,Stationery,P8151,34,352.46,20%,9586.91,Bangalore,Karnataka
4/6/2024,DM001,Stationery,P5753,50,394.06,8%,18126.76,Mumbai,Maharashtra
7/2/2024,DM013,Clothing,P5157,38,65.62,29%,1770.43,Patna,Bihar
7/3/2024,DM013,Home & Kitchen,P5836,24,244.25,12%,5158.56,Patna,Bihar
8/11/2024,DM020,Electronics,P2276,2,45.03,5%,85.56,Panaji,Goa
6/10/2024,DM001,Clothing,P3116,21,218.13,10%,4122.66,Mumbai,Maharashtra
12/26/2024,DM017,Home & Kitchen,P8300,50,369.62,29%,13121.51,Dehradun,Uttarakhand
6/17/2024,DM007,Home & Kitchen,P9151,43,248.42,5%,10147.96,Ahmedabad,Gujarat
6/26/2024,DM001,Clothing,P3052,17,344.97,20%,4691.59,Mumbai,Maharashtra
8/4/2024,DM011,Clothing,P5377,50,470.93,16%,19779.06,Chandigarh,Punjab
1/16/2024,DM019,Home & Kitchen,P4957,26,465.58,10%,10894.57,Ranchi,Jharkhand
4/9/2024,DM001,Groceries,P1361,49,139.1,25%,5111.92,Mumbai,Maharashtra
8/28/2024,DM004,Home & Kitchen,P3214,35,431.51,28%,10874.05,Chennai,Tamil Nadu
2/29/2024,DM006,Stationery,P8982,15,98.69,7%,1376.73,Delhi,Delhi
4/13/2024,DM015,Home & Kitchen,P2785,37,305.67,10%,10178.81,Guwahati,Assam
1/15/2024,DM013,Clothing,P9102,3,443.61,10%,1197.75,Patna,Bihar
10/18/2024,DM010,Stationery,P9713,49,356.82,21%,13812.5,Lucknow,Uttar Pradesh
4/27/2024,DM009,Clothing,P4489,20,89.57,25%,1343.55,Jaipur,Rajasthan
12/8/2024,DM011,Electronics,P7511,26,177.12,20%,3684.1,Chandigarh,Punjab
5/23/2024,DM011,Groceries,P1133,4,429.12,8%,1579.16,Chandigarh,Punjab
9/3/2024,DM012,Home & Kitchen,P1899,7,141.8,5%,942.97,Indore,Madhya Pradesh
3/24/2024,DM006,Home & Kitchen,P7480,46,56.14,22%,2014.3,Delhi,Delhi
11/29/2024,DM005,Clothing,P8965,41,422.02,13%,15053.45,Hyderabad,Telangana
6/20/2024,DM009,Home & Kitchen,P5467,48,92,1%,4371.84,Jaipur,Rajasthan
1/9/2024,DM016,Electronics,P7605,27,499.71,4%,12952.48,Thiruvananthapuram,Kerala
9/22/2024,DM014,Clothing,P9284,16,261.03,9%,3800.6,Bhubaneswar,Odisha
3/3/2024,DM006,Groceries,P3527,6,227.08,5%,1294.36,Delhi,Delhi
6/21/2024,DM004,Groceries,P2895,38,10.9,10%,372.78,Chennai,Tamil Nadu
5/31/2024,DM003,Stationery,P6364,26,98.61,28%,1845.98,Bangalore,Karnataka
6/2/2024,DM004,Home & Kitchen,P4151,34,394.56,7%,12475.99,Chennai,Tamil Nadu
8/24/2024,DM018,Groceries,P7200,13,315.4,8%,3772.18,Shimla,Himachal Pradesh
3/28/2024,DM006,Stationery,P7339,22,334.26,0%,7353.72,Delhi,Delhi
7/17/2024,DM011,Clothing,P8836,47,470.32,18%,18126.13,Chandigarh,Punjab
5/2/2024,DM012,Groceries,P9524,10,207.51,21%,1639.33,Indore,Madhya Pradesh
7/23/2024,DM008,Electronics,P2382,33,211.81,29%,4962.71,Kolkata,West Bengal
1/12/2024,DM009,Clothing,P9953,47,139.72,11%,5844.49,Jaipur,Rajasthan
6/21/2024,DM009,Electronics,P9970,13,271,21%,2783.17,Jaipur,Rajasthan
4/12/2024,DM009,Electronics,P8354,27,333.37,5%,8550.94,Jaipur,Rajasthan
11/20/2024,DM015,Electronics,P5535,29,148.25,23%,3310.42,Guwahati,Assam
12/20/2024,DM015,Clothing,P6197,15,435.78,27%,4771.79,Guwahati,Assam
8/17/2024,DM003,Clothing,P5377,31,323.27,25%,7516.03,Bangalore,Karnataka
2/16/2024,DM007,Stationery,P7036,50,333.21,16%,13994.82,Ahmedabad,Gujarat
4/21/2024,DM004,Stationery,P8618,21,321.14,8%,6204.42,Chennai,Tamil Nadu
8/27/2024,DM004,Groceries,P1939,49,470.7,3%,22372.37,Chennai,Tamil Nadu
12/2/2024,DM006,Groceries,P5538,45,407.05,15%,15569.66,Delhi,Delhi
3/28/2024,DM012,Clothing,P7601,49,472.77,7%,21544.13,Indore,Madhya Pradesh
7/12/2024,DM010,Stationery,P7100,41,170.22,20%,5583.22,Lucknow,Uttar Pradesh
10/20/2024,DM004,Stationery,P9182,50,410.02,21%,16195.79,Chennai,Tamil Nadu
2/14/2024,DM016,Electronics,P5055,1,429.49,15%,365.07,Thiruvananthapuram,Kerala
1/6/2024,DM017,Home & Kitchen,P2643,32,158.58,6%,4770.09,Dehradun,Uttarakhand
2/28/2024,DM008,Home & Kitchen,P1034,13,386,0%,5018,Kolkata,West Bengal
12/20/2024,DM006,Clothing,P8629,3,282.76,27%,619.24,Delhi,Delhi
8/3/2024,DM009,Home & Kitchen,P7006,24,199.07,16%,4013.25,Jaipur,Rajasthan
4/10/2024,DM011,Electronics,P8616,26,268.96,5%,6643.31,Chandigarh,Punjab
8/18/2024,DM014,Electronics,P3198,42,493.06,18%,16980.99,Bhubaneswar,Odisha
8/26/2024,DM020,Groceries,P3835,36,420.46,24%,11503.79,Panaji,Goa
2/10/2024,DM006,Home & Kitchen,P3238,2,79.49,16%,133.54,Delhi,Delhi
5/18/2024,DM016,Clothing,P9444,4,350.93,7%,1305.46,Thiruvananthapuram,Kerala
8/26/2024,DM007,Stationery,P4779,29,299.33,15%,7378.48,Ahmedabad,Gujarat
12/5/2024,DM006,Stationery,P5220,16,329.16,3%,5108.56,Delhi,Delhi
5/30/2024,DM020,Electronics,P5941,29,407.94,30%,8281.18,Panaji,Goa
5/13/2024,DM016,Clothing,P2579,47,40.37,18%,1555.86,Thiruvananthapuram,Kerala
2/25/2024,DM017,Clothing,P1484,12,232.04,4%,2673.1,Dehradun,Uttarakhand
12/2/2024,DM020,Home & Kitchen,P5117,7,310.62,25%,1630.76,Panaji,Goa
7/28/2024,DM015,Groceries,P1854,2,394.69,14%,678.87,Guwahati,Assam
4/23/2024,DM014,Electronics,P7411,21,391.14,15%,6981.85,Bhubaneswar,Odisha
11/20/2024,DM006,Home & Kitchen,P4824,25,432.76,15%,9196.15,Delhi,Delhi
3/2/2024,DM015,Groceries,P7508,6,309.08,3%,1798.85,Guwahati,Assam
2/8/2024,DM008,Home & Kitchen,P1182,41,454.13,9%,16943.59,Kolkata,West Bengal
